Profile ID,Case Name,Case Brief Description,URL,Country,Sector,Impact,Data Used,Long Description,Image File Name,Region,Machine Readable(Yes/No),Last updated,Status,Owner,Notes
497,ENOVA,Seeks to bridge the digital divide in education through open technology platforms,http://enova.mx/,Mexico,Education,Providing free online platforms students and educators to advance adaptive and accessible learning,"Social and demographic data (population density, income, level of education), transportation and environmental data (public transportation systems, green areas, and access to roads), education data (public schools) from the Government of Mexico","<br>Enova, a social entrepreneurship company based in Mexico City, seeks to bridge the digital divide amongst both students as well as educators. In a population where <a target=""_blank"" href=""http://www.state.gov/p/wha/rt/soa/2015/stories/239823.htm"">69% lack access to computers or the Internet</a>, such communities have a wide array of educational and technological needs. The Government of Mexico worked jointly with ENOVA to achieve digital inclusivity in establishing a “Network of Innovation and Learning"" (Las redes de innovación y aprendizaje - RIA) centers. ENOVA utilized open data to determine areas of greatest need and most potential impact.<br><br>Through a method characterized as <a target=""_blank"" href=""http://enova.mx/en/node/297"">“urban acupuncture""</a>, several indicators taken from publicly accessible databases were examined, including population density, income, level of education, public schools, commercial areas, public transportation systems, green areas, and access to roads. With 70 centers across 34 municipalities in the State of Mexico, government data was maximized to assess local needs within educational capacity building. Since each institution has specific needs, Enova focuses on the importance of adaptability in addition to the accessibility of their products.",Enova_edu_lac.png,Latin America & Caribbean,No,Nov 16,Final,AA,
527,Excel Geomatics,Open geographical data for information solutions to private and public organizations,http://www.excelgeomatics.com/,India,IT and geospatial,Maps open geographical data with data from the 2011 Census and NASA to target industry-specific needs,"Village and district boundary maps from India’s Census, Earth Observing System Data and Information System (EOSDIS) from the U.S. National Aeronautics and Space Administration (NASA), ASTER database from NASA and Japan’s Ministry of Economy, Trade and Industry (METI)","<br>Excel Geomatics is a consultancy that uses open geographical data to provide services within a number of  technology domains including remote sensing, spatial and topographical analysis, and photogrammetry. Through National Aeronautics and Space Administration (NASA) programming, Excel Geomatics uses their <a target=""_blank"" href=""https://earthdata.nasa.gov/earth-observation-data"">Earth Observing System Data and Information System (EOSDIS)</a> to develop their services. This Earth Observation data is integrated into the organization’s specialized GIS services which analyze 2011 Census data: ward maps for over 700 towns and cities, village and district boundary maps, and population distribution maps.<br><br>Excel Geomatics seeks to address pressing needs from mineral exploration to flood mapping. For instance, Excel Geomatics has evaluated <a target=""_blank"" href=""http://www.excelgeomatics.com/wp-content/uploads/2014/07/8_Gold_Mapping_Project_Tanzania.pdf"">gold potential in the Bukambe District of Tanzania</a>. Data was sourced from the ASTER database, free high resolution imaging run by <a target=""_blank"" href=""http://www.excelgeomatics.com/wp-content/uploads/2014/07/8_Gold_Mapping_Project_Tanzania.pdf"">NASA and Japan's Ministry of Economy, Trade and Industry (METI)</a>, as well as Google Earth Imaging. With these images, Excel Geomatics identified clients needs and provided recommendations for potential investments in the mining industry. Expert geologists analyzed Excel Geomatics findings and further identified gold prevalent areas through GIS.",ExcelGeomatics_it_sar.png,South Asia,No,Nov 16,Final,AA,
538,Factly,A data journalism platform that seeks to integrate public information for informed reporting,https://factly.in/,India,Media and communications,Creates fact-based reporting through articles and infographics,"Indian census data, crop data from India’s Ministry of Agriculture, pension data from the Planning Commission and Department of Rural Development, communal violence data from the Ministry of Home Affairs","<br>Factly, an independent data journalism platform. To reduce information asymmetry, Factly reports news with verified public information and government data. Policy-makers, researchers, and general audiences benefit from its data-based news platform, visualizations and infographics. The organization collects data both through public domain sources and through Right to Information (RTI) requests.<br><br>For example, one <a target=""_blank"" href=""https://factly.in/communal-incidents-in-india-statistics-57-communal-incidents-per-month-last-4-years-85-these-incidents-happen-in-8-states/"">article</a> used data from the Ministry of Home Affairs to count the total number of communal incidents that occurred in India from 2011 to 2015. It revealed that 85% of the 3365 incidents took place in eight specific states: Bihar, Gujarat, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Rajasthan and Uttar Pradesh. Within the remaining states, seven failed to report a single incident of communal violence. Publishing this article enhanced a dialogue on the subject of law and order within state governments, shedding light on systemic issues.<br><br>Factly sources information from a number of from government data sources, such as the Census from the Ministry of Agriculture, Annual Reports with The Planning Commission, Department of Rural Development, and more. Delivering public information through three mediums - articles, infographics, and videos, Factly seeks to 'make public data meaningful.'",Factly_med_sar.png,South Asia,Yes,Nov 15,Final,AA,
549,Farmerline,An SMS-based service that provides small-scale farmers with up-to-date agricultural information and advisement.,http://farmerline.co/,Ghana,Agriculture,Helps farmers increase crop yield and encourage new farming practices.,"Agricultural data from the Ghanaian Ministry of Food and Agriculture (MOFA), weather data from a number of sources","<br>Farmerline, an SMS-based service, provides small-scale farmers with up-to-date agricultural information and advisement based in Ghana. Farming accounts for <a target=""_blank"" href=""http://data.worldbank.org/indicator/NV.AGR.TOTL.ZS?locations=GH"">over a fifth of the country’s GDP</a>, and <a target=""_blank"" href=""http://data.worldbank.org/indicator/SL.AGR.EMPL.ZS"">42% of the workforce</a>. However, many farmers in Ghana operate small-scale farms and face an uphill battle for agriculture information due to a lack of internet access and the diversity of local languages.<br><br>Farmerline addresses both these issues, providing local farmers access to accurate, up-to-date weather forecasts and market prices. In turn, the farmers gain immediate knowledge of competitive pricing and if not larger, steadier yields due to the agronomic tips and support.<br><br>Open government data is at the heart of this effort. Launched in 2013, Farmerline gathers open data on weather and market prices, and then repackages the information into outbound text and voice SMS messages, <a target=""_blank"" href=""http://farmerline.co/2045-2/"">servicing over 5000 farmers</a> in Ghana and available in nine different local languages. Fully incorporating voice messages in its service, Farmerline has expanded to farmers in rural areas, where <a target=""_blank"" href=""http://www.statsghana.gov.gh/docfiles/glss5_report.pdf"">literacy rates remain under 50%</a>.",Farmerline_agr_ssa.png,Sub-Saharan Africa,Yes,Nov 15,Final,AA,
551,FarmLogs,Supporting farmers through technology to enhance crop production and reduce waste,https://farmlogs.com/,United States,Agriculture,Creates tools to measure crop management and environmental factors such as rainfall and soil composition,"Weather and rainfall data from U.S. National Oceanic and Atmospheric Administration’s (NOAA) National Climatic Data Center, soil data from the U.S. Department of Agriculture","<br>FarmLogs provides farmers with a free software and mobile application to map and analyze crop yields and environmental conditions for crop growth through government data. Their Farmlogs free Standard includes several features: Field Mapping, Scouting and Notes, Activity Tracking, Rainfall Tracking, GDD Accumulation, Soil Composition Maps, Growth Stage Analysis, Yield Maps, Input Planning. They also empower farmers to coordinate with the government to request data for their lands. On their website, FarmLogs details instructions on how to contact the U.S. Department of Agriculture's Farm Service Agency for field boundary data. Upon receipt, FarmLogs interprets the data and creates field boundaries on mapping systems for farmers to demarcate their lands.<br><br>Utilizing publicly accessible data remains essential to building its database of information. FarmLogs also <a target=""_blank"" href=""https://farmlogs.zendesk.com/hc/en-us/articles/203243309-How-the-rainfall-feature-works"">tracks rainfall activity</a> with data from the National Oceanic and Atmospheric Administration (NOAA) and the Department of Agriculture datasets to analyze <a target=""_blank"" href=""http://www.nytimes.com/2015/06/25/business/smallbusiness/farmlogs-app-helps-farmers-collect-and-retrieve-data.html?_r=2"">soil health</a>. Incorporating real-time data from the government easily connect farmers to focus on crop production and avoid unnecessary waste. This free feature also monitors GDD accumulation, or heat accumulation, over a plot of land as well as color coded yield maps.",Farmlogs_agr_na.png,North America,No,Nov 16,Final,AA,
627,GeoPostcodes,Provides a search engine for zip/postal codes for over 250 countries,http://www.geopostcodes.com/,United Arab Emirates,IT and geospatial,Utilizes open geographical data to create accurate reports on geocoding through a map and databases,"Codes and administrative levels from national statistics offices from all countries, and the U.S. Bureau of Transportation Statistics","<br>GeoPostcodes collects, manages and publishes geographical information on geographical information. For clients that rely on distributing information to large user bases, reliable geographical information is critical to effective marketing. GeoPostcodes operates off of datasets covering <a target=""_blank"" href=""http://www.geopostcodes.com/coverage#3/40.00/-2.00"">almost 10 million postcodes and over 18 million streets</a>. These datasets detail geographic coordinates, time zones, reference codes, ZIP codes or postcodes, and administrative divisions. Commercial services include geocoding addresses, distance calculations, and geo-mapping.<br><br>In their data catalog, the index of postal and ZIP codes includes 253 countries and territories, allowing for greater reach. Data is available for up to four administrative levels, such as region, province, district, and town/village. An interactive map demonstrates a visual representation of their collected data with a synopsis of the ISO Code, Postcodes format, and numbers of administrative levels, regions, and postcodes. Data is sourced from each country’s National Statistical Offices (NSOs) and <a target=""_blank"" href=""http://www.geopostcodes.com/support#structure"">coded into the regional datasets</a>, including ISO, country, language, and other classifications. Other information is sourced from the United Nations Geographic Information System for country codes, Internet Assigned Numbers Authority (IANA) Time Zones Database, and International Organization for Standardization for currencies and official languages.",GeoPostcodes_it_mna.png,Middle East & North Africa,No,Nov 16,Final,AA,
649,GoodGuide,"A platform which provides users with health, environmental, and social performance information of consumer products and companies.",http://www.goodguide.com/,United States,Consumer,Increase consumer knowledge of purchased products and manufacturer accountability,Toxic Release Inventory (and many other datasets) from the U.S. Environmental Protection Agency,"<br>In an ever-expanding market of consumer products and goods whose origins are often completely unknown to the buyer, information on where and under what conditions was a product made is hard to come by. GoodGuide works to provide consumers with this kind of information through its searchable consumer product database, ranking products such as candy, coffee and tea, food, and household chemicals, by their health, environment, and social performances.<br><br>GoodGuide draws its information from a wide variety of sources, from scientific institutions to NGOs to open government data sources. Its algorithm takes these datasets and ranks products correspondingly. For example, if a user were to look up Teas, they would find Frontier’s and Twinings’ Green Teas, as well as 4,831 other tea products, all ranked with an aggregate GoodGuide score as well as company, environment, and social scores. These scores are associated with indicators such as the amount of recycled content in their packaging for their environmental score, or whether a product is certified fair trade for its social score.<br><br>GoodGuide improves the ability for consumers to not only learn what they are buying in terms of work conditions and company environmental and social efforts, but also to gain a level of collective purchasing power based on increased information symmetry.",GoodGuide_con_na.png,North America,No,Nov 16,Final,AA,
675,Green Patrol,Advocates for environmental protection through regional investigations and civil society accountability measures,http://greenpatrol.ru/ru,Russian Federation,Energy and climate,Hold environmental violators accountable through an open platform,"Environmental data from regional data portals and Russia’s Ministry of Natural Resources and Environment, including main air polluters and surface water bodies, environmental protection expenditures; mortality and population data from the Federal State Statistics Service","<br>Established in 2007, Green Patrol, an environmental protection advocacy group seeks to create a more ecologically-oriented civil society. Green Patrol leads investigations using citizen-based self-reporting systems, regional data from the Ministry of Natural Resources and Environment, regional open data portals, and Green Patrol investigations. Through a <a target=""_blank"" href=""http://greenpatrol.ru/sites/default/files/broshyura_english_prezent.pdf"">network of 53 branches</a> throughout Russia, they collect data and integrate findings on environmental governance issues onto the online database. Green Patrol has investigations completed on 85 regions in Russia.<br><br>To support these investigations, Green Patrol uses geographic information system (GIS) to create accurate environmental rankings of the entities within Russia. These rankings rely on indicators such as water, land resources, bioresources and more, along with environmental indexes. In order to use this data, Green Patrol seeks information from regional data portals and Russian Ministries; they include mortality data, environmental protection expenditures, and air polluters and surface water bodies. Through these mediums, Green Patrol created for the Sakha Republic, for example, a <a target=""_blank"" href=""http://greenpatrol.ru/sites/default/files/doklad_o_sostoyanii_i_ohrane_okruzhayushchey_sredy_respubliki_saha_2014_god.pdf"">2014 regional report</a> and <a target=""_blank"" href=""http://greenpatrol.ru/ru/regiony/respublika-saha-yakutiya"">up-to-date assessments</a> to evaluate environmental policy violations. Subsequently, the Sakha Republic was marked in 73rd place of 85.",GreenPatrol_ene_eca.png,Europe & Central Asia,No,Nov 16,Final,AA,
696,Haezoom,An online platform that calculates potential energy savings from installing solar panels on a user’s residence,http://www.haezoom.com/,South Korea,Energy and climate,Offers common standard for solar panel industry and reduces asymmetric information between small solar panel brokers and consumers,"Building, solar radiation, air temperature data from South Korea’s Ministry of Land, Infrastructure, and Transportation, Ministry of Environment, the National Academy of Sciences, and Korea Meteorological Administration","<br>Solar is a burgeoning industry in South Korea. Yet, as solar panel sales continue to rise yearly, they continue to be driven by small brokers, the majority of whom claim their product is the best on the market. Haezoom attempts to equalize the market playing field, by providing consumers with accurate estimates of savings from installing solar panels in their homes.<br><br>Haezoom is one of many companies that have sprung up from the South Korean government’s 2013 <a target=""_blank"" href=""http://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=142444#0000"">public data act</a>, and Haezoom itself relies on building, geographical, solar radiation, air temperature, as well as a number of other datasets provided by several Ministries in the government, the National Academy of Sciences, and the Korea Meteorological Administration. It analyzes these datasets alongside the user’s monthly electrical bill to predict expected energy savings, installation costs, and CO2 emission reductions. The service then suggests which solar energy installation best suits the user’s needs.<br><br>Haezoom fills two essential, yet previously vacant, roles within the South Korean solar industry. First, it provides an impartial cost-benefit analysis of solar panel installation to clients. Second, it suggests credible manufacturers to purchase solar panels from based on its user’s needs. In doing so, Haezoom promotes the adoption of solar energy by increasing the amount of information available to customers.",Haezoom-Ener-EAP.png,East Asia & Pacific,No,Nov 16,Final,AA,
734,IAG Ltd,"The parent company of a general insurance group with operations in Australia, New Zealand, Thailand and Vietnam",http://www.iag.com.au/,Australia,Finance and insurance,Identifies areas of greatest vulnerability to natural disasters through data mapping applications,"Census data from Australian Bureau of Statistics, Cyclone Track Maps from the Bureau of Meteorology and New South Wales Rural Fire Service","<br>IAG is an insurance company that provides customer protection plans from environmental disasters and advocates for the expansion of government data. As a founding member of the Australian Business Roundtable for Disaster Resilience & Safer Communities, IAG works to create a national approach toward investing in disaster mitigation efforts through big data applications. IAG relies on government statistics to price and issue policies, process claims, create predictive modeling, and pursue risk management. These data sources include the Geoscience Australia, the Australian Bureau of Statistics, the Bureau of Meteorology for Cyclone Track Maps, and the New South Wales Rural Fire Service RSS Feed.<br><br>Subsequently, IAG was tasked by the United Nations Environment Program (UNEP) to lead the second phase, <a target=""_blank"" href=""http://globalriskmap.nicta.com.au/About.html"">Global Risk Map</a>, of the Principles of Sustainable Insurance (PSI) Global Resilient Project, looking at risk reduction in natural disasters. This project’s virtual tools track national-level vulnerability to natural hazards, national-level resilience, the economic and social impacts, exposure to natural hazards, and country-level natural hazard events. Under the approval of the UNEP, data sources are EM-DAT database, INFORM, World Bank Database, PreventionWeb. Along the data catalogue, users may narrow down disaster types and download feature information in CSV formatting.",IAG_fin_eap.png,East Asia & Pacific,No,Nov 16,Final,AA,
776,InstaVIN,App that provides access to vehicle history and title reports,https://www.instavin.com,United States,Transportation and logistics,Providing consumers with complete vehicle history and title report,Vehicle information from the U.S. National Motor Vehicle Title Information System (NMVTIS) and State Departments of Motor Vehicles; Police records from local Police datasets,"<br>Vehicle history reporting provides detailed information about a vehicle’s past and can help uncover hidden negative history. Accordingly, information on a vehicle’s history is therefore seen as an essential help for shoppers to make better purchase decisions when buying cars. InstaVIN addresses this by providing a vehicle history reporting service that looks up information on a Vehicle identification number (VIN) instantly when it is submitted by a consumer, and then sends the information back to the consumer.<br><br>The service runs an immediate background check on the vehicle, grabbing information from state and federal government sources, like the National Motor Vehicle Title Information System, police reports, as well as from private sources like car dealers and insurance records. This information, which may include theft, towing, impound, lien data, vehicle specifications, is then sent right back to the consumer. Taking advantage of this combination of data sources, consumers can get the title and salvage history of a vehicle thus reducing the risk of making a costly decision when purchasing it.",InstaVIN_tra_lac.png,North America,No,Nov 16,Final,AA,
