Profile ID,Case Name,Case Brief Description,URL,Country,Sector,Impact,Data Used,Long Description,Image File Name,Region,Machine Readable(Yes/No/NA),Last updated,Status,Owner,Notes
370,CrowdMap IT,"A geocoding startup that creates visualizations of water, energy, and public health, as well as tracks and digitizes attacks from Fulani herdsmen.",https://cmapit.com,Nigeria,IT and geospatial,Raises local and global awareness on issues in Nigeria and opens up local communities to technological innovation,"Geospatial, water and sanitation from Nigeria's open data portal","<br> One of cMapIT’s first large projects was to improve sanitation in the Lagos state. cMapIT’s team took an innovative approach and visualized geo-tagged datasets that monitored pollution at blocked drainage points, mapping out the situation on the ground for local governments. Other projects include <a target=""_blank"" href=""https://waterdatang.wordpress.com/"">“Waterdatang”</a> and <a target=""_blank"" href=""https://powertrackerng.wordpress.com/"">“Power Tracker”</a>, which take crowdsourcing approaches; volunteers surveyed their local communities on household water usage and scarcity, as well as community energy consumption, and uploaded this information with a mobile app cMapIT developed to cMapIT’s website to be visualized.<br><br>In a country that lacks comprehensive data on the issues it faces today, cMapIT’s active approach to data collection helps local governments improve public policy, and fills gaps in unavailable public information. cMapIT’s web applications provide the datasets in machine-readable formats for download and API access. The organization has also opened its first tech hub to adapt the project to local use in different Nigerian local communities.<br><br>“cMapIT.com is a tech startup that designs and builds crowd-mapping tools for government, private institutions, research institutions and individuals. It is also a civic tech startup with open access tools to track government and digitize issues around governance, public projects and public policies while also designing base maps to connect and build social works around the country”.<br><br>cMapIT hopes to ease some of these burdens by sending alerts to residents when and where backups occur. The app also provides real-time crowdsourced reporting, and as a complementary measure, the team has created another app: Called <a target=""_blank"" href=""http://www.govtech.com/data/This-Week-in-Civic-Tech-NYC-Launches-Public-Wi-Fi-Beta-Nigeria-Experiments-with-Sewage-Mapping.html"">PolicyMapNG</a>, the app tracks government public projects across Nigeria.",crowdmapit_IT_SSA.jpg,Sub-Saharan Africa,Yes,Nov 23,Final,AA,
,Cultural Routes,"App which helps users plan walking and biking routes, linking routes to historical and cultural sites in Moscow",http://culturalroutes.ru/,Russian Federation,"Arts, culture and tourism",Reduces time spent browsing tourist information sites,"Bicycle parking, museums, and city taxi parking datasets from the Department of Information Technology of the Government of Moscow","<br>Cultural Routes is an app that plans walking and biking routes around historical and cultural sites in Moscow. The app takes the location of taxicab stands and bike share locations into account, and tracks which museums are accessible to visit for people with disabilities.<br><br>Cultural Routes, one of several apps built by BNet, a Russian app developer company, takes all of its data from the Russian government’s open data portal. Currently, the application uses bicycle parking, museum, and city taxi parking datasets from data.mos.ru, and overlays this information onto a map. In addition to Cultural Routes’ original route function, BNet has added three other route recommendation functions: the first shows popular routes, the second takes the user’s location and finds nearby museums, the third lists museums most recommended by Cultural Routes users.<br><br>By mapping existing museum, bike, and taxi information from Russia’s government data portal, the app reduces the time spent for tourists and museum-goes looking through multiple websites and planning their day along bikeshare apps, google maps, and taxi services.",CulturalRoutes_art_eca.png,Europe & Central Asia,NA,Nov 16,Final,TG,
388,DATA Uruguay,Nonprofit seeking to support open civic data to strengthen communities and social activism,http://www.datauy.org/,Uruguay,IT and geospatial,Increases citizen access to open government health data through interactive visualizations,"Ministry of Public Health - National Health Insurance Providers, National Open Data Catalog or Catálogo de Datos Abiertos","<br>DATA Uruguay is a nonprofit that seeks to use open civic data to strengthen community engagement and social activism. In 2015, they launched <a target=""_blank"" href=""http://odimpact.org/case-uruguays-a-tu-servicio.html"">an online browsing tool</a>. of health care providers in conjunction with the Ministry of Public Health, called <a target=""_blank"" href=""http://atuservicio.uy/"">A Tu Servicio</a>, translated as 'At Your Service'. Publicly available government data is now transformed into an easy to use tool for users seeking health care services. Users have access to <a target=""_blank"" href=""https://sunlightfoundation.com/2015/05/13/how-open-data-is-changing-the-way-uruguayans-choose-their-health-care/"">performance indicators</a> and may contact health care providers directly, while health care providers are held more accountable for their treatments.<br><br>This data availability shifted a national dialogue of concerning citizen access and use. By using data from the <a target=""_blank"" href=""https://catalogodatos.gub.uy/"">National Open Data Catalog</a>, DATA Uruguay uses machine-readable data to support A Tu Servicio website. Available in CSV and shapefiles, their data includes geospatial maps for streets, biographical data, public procurement, tools visualizing gender discrimination, and regulatory data for an energy efficiency comparison tool. These tools allow users to compare health insurance providers by looking at key performance indicators such as office wait time and patient satisfaction, while also identifying data gaps. The National Open Data Catalog allows the A Tu Servicio website to provide data-driven health solutions for Uruguayan citizens.",datauru_IT_LAC.png,Latin America & Caribbean,Yes,Nov 28,FInal,KK,
1705,DataMeet,A community group for data science and open data professionals in India,http://datameet.org/,India,IT and geospatial,Promotes the use of open data in India,"Electoral data from the Election Commission of India, education data from the Indian Ministry of Human Resource Development, and geospatial data","<br>DataMeet was started by a handful of data enthusiasts in India in 2011, and has been growing ever since. At its core, DataMeet is an open data community dedicated to issues around data use in India. Today, approximately 1500 member s contribute to the group’s discussions online. However, DataMeet’s activities are not only confined to the digital world. The DataMeet community hosts regular meetups in 5 different cities in India, as well as trainings and other events, such as the Open DataCamp, to promote the use of open data.<br><br>DataMeet has, over the years, accomplished an impressive track record of activities around open data use. However, due to limitations in accessing public data which, frequently, is not in a machine-readable format, a substantial part of their work is devoted to converting data to more useful formats. In this context, DataMeet provides training in <a target=""_blank"" href=""http://datameet.org/wiki/hackathons:freepdfs"">liberating data from PDF files</a>. Furthermore, DataMeet has produced extensive advocacy work towards issues of data <a target=""_blank"" href=""http://datameet.org/2016/09/19/data-policies-in-telangana/"">policies</a> and <a target=""_blank"" href=""http://savethemap.in/"">regulations</a>, and has organized several open data-centered activities, such workshops and hackathons in different Indian cities. In these events, participants have the chance to work on data covering a wide range of issues, such as <a target=""_blank"" href=""http://odc.datameet.org/odcblr2014:hackathon"">electoral</a> data, <a target=""_blank"" href=""http://odc.datameet.org/odcblr2015"">education</a> data, or <a target=""_blank"" href=""http://odc.datameet.org/odwche2012"">GIS</a> data.",datameet_GOV_SAR.png,South Asia,Yes,Nov 23,Final,GM,
406,Datos El Salvador,An open data portal developed by civil society,http://www.datoselsalvador.org,El Salvador,Governance,Provides access to public data in an open format,"Data from the MInistry of the Economy, Ministry of Agriculture and Livestock , MInistry of Education; Ministry of Health, National Directorate of Medications, Legislative Assembly, Supreme Electoral Tribunal, and the Port Authority","<br>Datoselsalvador.org is the first open data portal developed by civil society in El Salvador. It includes various types of data, such as economic, demographic, geospatial, social, and cultural data, and was created collaboratively by members of Open Knowledge Foundation El Salvador. This group is also actively involved in other open data initiatives such as Apps Challenges in Latin America, and in the development of open source tools to convert PDFs to CSV files (a machine-readable format) as well as training journalists to use these tools.<br><br>Faced with the fact that about 80% of government data is only available in PDF, most of the work supporting Datoselsalvador.org is directed at converting and subsequently publishing data in open formats that allows the re-use of data and is compatible with other data catalogs published on the Web. Ultimately, datoselsalvador.org is not solely a site for transparency or oversight, but also a portal that aims to generate inputs to co-create public value.",datosel_GOV_LAC.png,Latin America & Caribbean,Yes,Nov 23,Final,GM,
408,De Olho nas Metas,"Platform for monitoring the progress of municipal projects in São Paulo, Brazil",http://deolhonasmetas.org.br,Brazil,Governance,Helps civil society monitor municipal projects in their community,"Education data from the Brazilian Ministry of Education and Brazilian Institute of Geography and Statistics (IBGE), government operations data from the municipality of São Paulo","<br>According to Brazilian law, in every mandate the mayor of a municipality is obliged to submit a plan describing the goals that will be implemented during his administration. These goals cover various topics ranging from environment to education, or any other areas of intervention in the city. In 2013, a new legislation enabled the creation of Participatory Councils, civil society groups that , among other things, monitor the execution of the municipal budget, public services performance indicators, and the implementation of the proposed plan within their geographical area.<br><br>Relying on data pulled from the municipality of São Paulo <a target=""_blank"" href=""http://planejasampa.prefeitura.sp.gov.br"">website</a>, the platform “De Olho nas Metas"" was created to facilitate monitoring of the progress of municipal projects. The tool also aims to improve communication between citizens, Participatory Councils, and public officials. For a more complete and transparent view of projects, the platform also incorporates data from the Treasury Court of São Paulo and displays information on the companies that were contracted for the execution of each project.<br><br>“De Olho nas Metas"" has also produced <a target=""_blank"" href=""http://www.todospelaeducacao.org.br//arquivos/biblioteca/de_olho_nas_metas_2013_141.pdf"">reports</a> providing recommendations for the improvement of the Brazilian education system supported by the analysis of open education data (e.g. literacy rates, education budgeting) from the Ministry of Education, and the Brazilian Institute of Geography and Statistics (IBGE).",DeOlhoNasMetas_gov_lac.png,Latin America & Caribbean,NA,Nov 16,Final,GM,
,District Metrics,Online service displaying household consumers in India at a disaggregated level,http://districtmetrics.com/,India,"Business, research and consulting",Improves market research with estimates on income and business activity based on public data,"Economic data from the Reserve Bank of India, and the Ministry of Statistics of the Government of India, and demographic data from the Census of India","<br>The information generated by a population and housing census – comprising numbers of people, their distribution, their living conditions and other key data – is <a target=""_blank"" href=""http://www.unfpa.org/census"">critical for development</a>. The essential output of census initiatives, in the form of data, has been used extensively by researchers for <a target=""_blank"" href=""https://www.mrs.org.uk/article/item/1136"">decades</a>. Moreover, with the rise of the open data movement in the last few years, marketing research firms have leveraged on these data sets to undertake manifold <a target=""_blank"" href=""http://wpcurve.com/consumer-research-data/"">analyses</a>, such as the study growth in population patterns, employment, commute times, education, and more. In this context, the current release of census data in an open format by government around the world presents a significant opportunity for more detailed and effective market analysis and sampling.<br><br>District Metrics (DM), a solution developed by <a target=""_blank"" href=""http://www.akara.co.in/"">Akara Research & Technologies</a>, makes use of a combination of census data and economic data provided by the Indian government to help users unravel the potential household consumers in India at a disaggregated level. Leveraging on data drawn from public sources, such as the Reserve Bank of India, the Ministry of Statistics of the Government of India, and the Census of India, DM maps the demographics, and other economic indicators – purchasing power, income and economic activity – for various districts. This enables marketers to, for instance, identify and locate market geographies and households that can be prioritised. Additionally, DM also allows users to juxtapose their own internal data-sets like sales, or distributors, to further improve decision making.<br><br>The wide range of application offered by DM reinforces the role of open data as a source of competitive advantage in market research, by helping marketers with issues such location decisions, market segmentation, merchandising and post-sales interaction.",districtmetrics_BUS_SAR.png,South Asia,Yes,Nov 23,Final,GM,
460,Economics Association of Zambia,"Undertaking research, training, education, and consultancy in the field of economics and related disciplines",http://eaz.org.zm,Zambia,Governance,Provides recommendations and advocacy on economic policies to reduce poverty in Zambia,"Economic indicators, health indicators, household surveys, living conditions survey, demographic survey, economic census, population census, agriculture census from Zambia’s Central statistical office (CSO) and the Central Bank of Zambia","<br>While Zambia’s economy has continued to grow at an average annual rate in recent years, global headwinds and domestic pressures have strained the Zambian economy. Since the 1960s, the Economics Association of Zambia (EAZ), a non-partisan body established in the 1960s, has promoted the socio-economic development of Zambia by undertaking research, training, education, publication and consultancy in the field of economics and related disciplines.<br><br>In its role of political advisor, the EAZ takes advantage of public economic data to conduct policy research. Complementary to its own primary data collection, EAZ sources open data mainly from the Zambian Central statistical office and the Central Bank of Zambia. The type of data being used covers a wide range - economic and health indicators, population and economic census, health demographic surveys, and others. For example, in its website, which also serves as an advocacy platform, the EAZ has contributed to the dissemination of the results of 2015 Living Conditions Monitoring Survey, a poverty assessment <a target=""_blank"" href=""http://eaz.org.zm/2015-living-conditions-monitoring-survey-results/"">study</a> conducted by the Central statistical office to monitor and highlight the living conditions of the population of Zambia. In this way, the EAZ seeks to help the Government of Zambia achieve its objectives towards poverty reduction and strengthening the linkages between budgeting and planning.",EconomicsAssociationZambia_bus_ssa.png,Sub-Saharan Africa,Yes,Nov 15,Final,GM,
462,Eduweb,"Centralized portal of open education data (schools, colleges and universities) in Kenya",http://www.eduweb.co.ke,Kenya,Education,"Provides a simple interactive mechanism to identify, locate, and evaluate schools","Education data (name of schools, location, contact, facilities, differentiating information) in Kenya’s Ministry of Education","<br>Developed in 2012 by <a target=""_blank"" href=""http://www.rivercrosstracking.com/"">Rivercross Technologies</a> Eduweb is an online platform that helps citizens explore schools in Kenya. Eduweb provides an online centralized portal where users can easily access information on relevant education institutions (schools, colleges and universities) country-wide. The portal, which is also available on mobile phones, aims to help parents looking for schools for their children, graduates looking for post-secondary opportunities, or others generally seeking to further their education. While making use of open education data, such as the names, locations, contacts of schools in Kenya, Eduweb offers a simple tool to effectively identify and compare different schools, so that parents, students, or others, can make informed decisions about their education.",Eduweb-Edu-AFR.png,Sub-Saharan Africa,Yes,Nov 15,Final,GM,
496,Ennovent,Ancompany providing services to accelerate for-profit innovations for sustainability in low-income markets,http://www.ennovent.com,India,"Business, research and consulting",Informs business strategy and targeting of proposals,India's budget and economic data,"<br>Ennovent accelerates innovations in emerging markets in sectors includin healthcare, education, agriculture, and environment. The company focuses principally on capacity-building, matches organizations with mentors, and helps them find investors. Open government data on government projects, spending and economic statistics help inform the organizations strategy in several ways.<br><br>For instance, sector statistics are used to explain the need for an innovation, as well as to identify promising potential clients and solutions. In other cases, government data is combined with internally collected information for market research for clients.",ennovent_BUS_SAR.jpg,South Asia,Yes,Nov 27,Final,AA,
497,ENOVA,Organization that seeks to bridge the digital divide in education through open technology platforms,http://enova.mx/,Mexico,Education,Providing free online platforms students and educators to advance adaptive and accessible learning,"Social and demographic data (population density, income, level of education), transportation and environmental data (public transportation systems, green areas, and access to roads), education data (public schools) from the Government of Mexico","<br>Enova, a social entrepreneurship company based in Mexico City, seeks to bridge the digital divide amongst both students as well as educators. In a population where <a target=""_blank"" href=""http://www.state.gov/p/wha/rt/soa/2015/stories/239823.htm"">69% lack access to computers or the Internet</a>, such communities have a wide array of educational and technological needs. The Government of Mexico worked jointly with ENOVA to achieve digital inclusivity in establishing a “Network of Innovation and Learning"" (Las redes de innovación y aprendizaje - RIA) centers. ENOVA utilized open data to determine areas of greatest need and most potential impact.<br><br>Through a method characterized as <a target=""_blank"" href=""http://enova.mx/en/node/297"">“urban acupuncture""</a>, several indicators taken from publicly accessible databases were examined, including population density, income, level of education, public schools, commercial areas, public transportation systems, green areas, and access to roads. With 70 centers across 34 municipalities in the State of Mexico, government data was maximized to assess local needs within educational capacity building. Since each institution has specific needs, Enova focuses on the importance of adaptability in addition to the accessibility of their products.",Enova_edu_lac.png,Latin America & Caribbean,NA,Nov 16,Final,KK,
